sepal_length,sepal_width,petal_length,petal_width,species_pred,species_prob
5.5,2.5,4.0,1.3,versicolor,0.9637181040747509
6.9,3.1,5.1,2.3,virginica,0.9579487075323135
5.1,2.5,3.0,1.1,versicolor,0.9511140768863345
4.4,2.9,,0.2,setosa,0.6275726370195287
5.9,3.0,5.1,1.8,virginica,0.735235228205682
5.5,3.5,1.3,0.2,setosa,0.9582646125965035
5.6,,3.6,1.3,versicolor,0.9410144391914518
6.5,3.0,5.2,2.0,virginica,0.9350950865461505
5.3,3.7,1.5,0.2,setosa,0.9634716889192483
5.1,3.4,1.5,,setosa,0.8088844828655457
6.1,2.8,4.0,1.3,versicolor,0.9778113868030877
5.5,2.4,3.7,1.0,versicolor,0.9781697671147072
7.7,3.0,6.1,2.3,virginica,0.9528325908917216
6.9,3.1,4.9,1.5,versicolor,0.7525259490183964
6.0,2.2,5.0,1.5,versicolor,0.6067374315469788
4.0,2.3,1.1,0.4,setosa,0.8373065362953023
5.3,3.0,5.0,2.4,virginica,0.9403016510164328
